番号,中国語,ピンイン1,ピンイン2,日本語,level
1,爱,ai,ài,愛する,1
2,八,ba,bā,八,1
3,爸爸,baba,bàba,お父さん,1
4,杯子,beizi,bēizi,コップ,1
5,北京,beijing,běijīng,北京,1
6,本,ben,běn,ノート,1
7,不,bu,bù,ではありません（否定）,1
8,不客气,bukeqi,bùkèqì,どういたしまして,1
9,菜,cai,cài,料理,1
10,茶,cha,chá,お茶,1
11,吃,chi,chī,食べる,1
12,出租车,chuzuche,chūzūchē,タクシー,1
13,打电话,dadianhua,dǎdiànhuà,電話をする,1
14,大,da,dà,大きい,1
15,的,de,de,の,1
16,点,dian,diǎn,点、時,1
17,电脑,diannao,diànnǎo,パソコン,1
18,电视,dianshi,diànshì,テレビ,1
19,电影,dianying,diànyǐng,映画,1
20,东西,dongxi,dōngxī,事、物,1
21,都,dou,dōu,全て,1
22,读,du,dú,読む,1
23,对不起,duibuqi,duìbùqǐ,すみません,1
24,多,duo,duō,もっと,1
25,多少,duoshao,duōshǎo,どの位,1
26,儿子,erzi,érzi,息子,1
27,二,er,èr,二つ,1
28,饭馆,fanguan,fànguǎn,レストラン,1
29,飞机,feiji,fēijī,航空機,1
30,分钟,fenzhong,fēnzhōng,分,1
31,高兴,gaoxing,gāoxìng,幸せ、嬉しい,1
32,个,ge,gè,個,1
33,工作,gongzuo,gōngzuò,仕事,1
34,狗,gou,gǒu,犬,1
35,汉语,hanyu,hànyǔ,中国語,1
36,好,hao,hǎo,良い、とても,1
37,喝,he,hē,飲む,1
38,和,he,hé,と,1
39,很,hen,hěn,非常に,1
40,后面,houmian,hòumiàn,後ろ,1
41,回,hui,huí,帰る,1
42,会,hui,huì,できる,1
43,火车站,huochezhan,huǒchēzhàn,鉄道駅,1
44,几,ji,jǐ,どのくらい,1
45,家,jia,jiā,家,1
46,叫,jiao,jiào,呼ぶ,1
47,今天,jintian,jīntiān,今日,1
48,九,jiu,jiǔ,九つ,1
49,开,kai,kāi,開ける,1
50,看,kan,kàn,見る,1
51,看见,kanjian,kànjiàn,見かける,1
52,块,kuai,kuài,塊,1
53,来,lai,lái,来る,1
54,老师,laoshi,lǎoshī,教師,1
55,了,le,le,過去形を表す,1
56,冷,leng,lěng,冷たい,1
57,里,li,lǐ,〜の中,1
58,零,ling,líng,ゼロ,1
59,六,liu,liù,六,1
60,妈妈,mama,māmā,お母さん,1
61,吗,ma,ma,疑問を表す,1
62,买,mai,mǎi,購入する,1
63,猫,mao,māo,猫,1
64,没,mei,méi,ではない（過去形の否定）,1
65,没关系,meiguanxi,méiguānxì,気にしないで,1
66,米饭,mifan,mǐfàn,米,1
67,明天,mingtian,míngtiān,明日,1
68,名字,mingzi,míngzì,名前,1
69,哪,na,nǎ,どの、どんな,1
70,哪儿,naer,nǎ'er,どこ,1
71,那,na,nà,その,1
72,那儿,naer,nà'er,そこ,1
73,呢,ne,ne,疑問を表す表現,1
74,能,neng,néng,できる,1
75,你,ni,nǐ,あなた,1
76,年,nian,nián,年,1
77,女儿,nver,nǚ'ér,娘,1
78,朋友,pengyou,péngyǒu,友人,1
79,漂亮,piaoliang,piàoliang,美しい,1
80,苹果,pingguo,píngguǒ,リンゴ,1
81,七,qi,qī,七,1
82,钱,qian,qián,お金,1
83,前面,qianmian,qiánmiàn,前,1
84,请,qing,qǐng,してください,1
85,去,qu,qù,行く,1
86,热,re,rè,熱い,1
87,人,ren,rén,人々,1
88,认识,renshi,rènshì,知っている,1
89,日,ri,rì,日,1
90,三,san,sān,三つ,1
91,商店,shangdian,shāngdiàn,お店,1
92,上,shang,shàng,上の,1
93,上午,shangwu,shàngwǔ,朝,1
94,少,shao,shǎo,少ない,1
95,谁,shei,shéi,誰,1
96,什么,shenme,shénme,何,1
97,十,shi,shí,十,1
98,时候,shihou,shíhòu,～の時,1
99,是,shi,shì,～である,1
100,书,shu,shū,本,1
101,水,shui,shuǐ,水,1
102,水果,shuiguo,shuǐguǒ,果物,1
103,睡觉,shuijiao,shuìjiào,寝る,1
104,说话,shuohua,shuōhuà,話す,1
105,四,si,sì,四,1
106,岁,sui,suì,歳,1
107,他,ta,tā,彼,1
108,她,ta,tā,彼女,1
109,太,tai,tài,かなり,1
110,天气,tianqi,tiānqì,天気,1
111,听,ting,tīng,聞く,1
112,同学,tongxue,tóngxué,同級生,1
113,喂,wei,wèi,もしもし,1
114,我,wo,wǒ,私,1
115,我们,women,wǒmen,私たち,1
116,五,wu,wǔ,五,1
117,喜欢,xihuan,xǐhuān,好き,1
118,下,xia,xià,下,1
119,下午,xiawu,xià wǔ,午後,1
120,下雨,xiayu,xiàyǔ,雨が降る,1
121,先生,xiansheng,xiānshēng,〜さん,1
122,现在,xianzai,xiànzài,今,1
123,想,xiang,xiǎng,したい,1
124,小,xiao,xiǎo,小さな,1
125,小姐,xiaojie,xiǎojiě,若い女性,1
126,些,xie,xiē,一部,1
127,写,xie,xiě,書く,1
128,谢谢,xiexie,xièxiè,ありがとう,1
129,星期,xingqi,xīngqí,週,1
130,学生,xuesheng,xuéshēng,学生,1
131,学习,xuexi,xuéxí,勉強する,1
132,学校,xuexiao,xuéxiào,学校,1
133,一,yi,yī,1,1
134,衣服,yifu,yīfú,服,1
135,医生,yisheng,yīshēng,医者,1
136,医院,yiyuan,yīyuàn,病院,1
137,椅子,yizi,yǐzi,椅子,1
138,有,you,yǒu,持っている,1
139,月,yue,yuè,月,1
140,在,zai,zài,どこどこで,1
141,再见,zaijian,zàijiàn,さようなら,1
142,怎么,zenme,zěnme,どのように,1
143,怎么样,zenmeyang,zěnmeyàng,どうですか？,1
144,这,zhe,zhè,これ,1
145,这儿,zheer,zhèer,ここに,1
146,中国,zhongguo,zhōngguó,中国,1
147,中午,zhongwu,zhōngwǔ,正午,1
148,住,zhu,zhù,住んでいる,1
149,桌子,zhuozi,zhuōzi,机,1
150,字,zi,zì,字,1
151,昨天,zuotian,zuótiān,昨日,1
152,做,zuo,zuò,する,1
153,坐,zuo,zuò,座る,1
154,吧 ,ba,ba,でしょ？,2
155,白,bai,bái,白,2
156,百,bai,bǎi,百,2
157,帮助,bangzhu,bāngzhù,助ける,2
158,报纸,baozhi,bàozhǐ,新聞,2
159,比,bi,bǐ,比較して,2
160,别,bie,bié,しないでください,2
161,长,chang,cháng,長い,2
162,唱歌,changge,chànggē,歌を歌う,2
163,出,chu,chū,出る,2
164,穿,chuan,chuān,着る,2
165,船,chuan,chuán,船,2
166,次,ci,cì,次,2
167,从,cong,cóng,〜から,2
168,错,cuo,cuò,間違う,2
169,打篮球,dalanqiu,dǎlánqiú,バスケットボールをする,2
170,大家,dajia,dàjiā,みんな,2
171,但是,danshi,dànshì,しかし,2
172,到,dao,dào,〜へ,2
173,得,de,dé,得る,2
174,等,deng,děng,待つ,2
175,弟弟,didi,dìdì,弟,2
176,第一,diyi,dìyī,最初の,2
177,懂,dong,dǒng,分かった,2
178,对,dui,duì,正しい,2
179,房间,fangjian,fángjiān,部屋,2
180,非常,feichang,fēicháng,非常に,2
181,服务员,fuwuyuan,fúwùyuán,店員,2
182,高,gao,gāo,高い,2
183,告诉,gaosu,gàosù,伝える,2
184,哥哥,gege,gēgē,兄,2
185,给,gei,gěi,与える,2
186,公共汽车,gonggongqiche,gōnggòngqìchē,バス,2
187,公斤,gongjin,gōngjīn,kg キログラム,2
188,公司,gongsi,gōngsī,会社,2
189,贵,gui,guì,値段が高い,2
190,过,guo,guò,過ぎる,2
191,还,hai,hái,さらに,2
192,孩子,haizi,háizi,子供,2
193,好吃,haochi,hǎochī,美味しい,2
194,号,hao,hào,番号,2
195,黑,hei,hēi,黒,2
196,红,hong,hóng,赤,2
197,欢迎,huanying,huānyíng,歓迎する,2
198,回答,huida,huídá,答える,2
199,机场,jichang,jīchǎng,空港,2
200,鸡蛋,jidan,jīdàn,卵,2
201,件,jian,jiàn,着（上着類の数を数える）,2
202,教室,jiaoshi,jiàoshì,教室,2
203,姐姐,jiejie,jiějiě,お姉ちゃん,2
204,介绍,jieshao,jièshào,紹介する,2
205,进,jin,jìn,入る,2
206,近,jin,jìn,近い,2
207,就,jiu,jiù,すぐに,2
208,觉得,juede,juéde,思う、感じる,2
209,咖啡,kafei,kāfēi,コーヒー,2
210,开始,kaishi,kāishǐ,始める,2
211,考试,kaoshi,kǎoshì,試験,2
212,可能,keneng,kěnéng,かもしれない,2
213,可以,keyi,kěyǐ,できる,2
214,课,ke,kè,授業,2
215,快,kuai,kuài,速い,2
216,快乐,kuaile,kuàilè,幸せ,2
217,累,lei,lèi,疲れる,2
218,离,li,lí,〜から,2
219,两,liang,liǎng,二つ,2
220,路,lu,lù,道路,2
221,旅游,luyou,lǚyóu,旅行,2
222,卖,mai,mài,売る,2
223,慢,man,màn,遅い,2
224,忙,mang,máng,忙しい,2
225,每,mei,měi,それぞれ、各々,2
226,妹妹,meimei,mèimei,妹,2
227,门,men,mén,扉,2
228,男人,nanren,nánrén,男,2
229,您,nin,nín,あなた（敬語）,2
230,牛奶,niunai,niúnǎi,牛乳,2
231,女人,nuren,nǚrén,女,2
232,旁边,pangbian,pángbiān,隣,2
233,跑步,paobu,pǎobù,走る,2
234,便宜,pianyi,piányi,安い,2
235,票,piao,piào,チケット,2
236,妻子,qizi,qīzi,妻,2
237,起床,qichuang,qǐchuáng,起きる,2
238,千,qian,qiān,千,2
239,晴,qing,qíng,明確な,2
240,去年,qunian,qùnián,昨年,2
241,让,rang,ràng,させる,2
242,上班,shangban,shàngbān,出勤する,2
243,身体,shenti,shēntǐ,体,2
244,生病,shengbing,shēngbìng,病気になる,2
245,生日,shengri,shēngrì,誕生日,2
246,时间,shijian,shíjiān,時間,2
247,事情,shiqing,shìqíng,事,2
248,手表,shoubiao,shǒubiǎo,腕時計,2
249,手机,shouji,shǒujī,携帯電話,2
250,送,song,sòng,送る、届ける,2
251,所以,suoyi,suǒyǐ,だから,2
252,它,ta,tā,それは,2
253,踢足球,tizuqiu,tīzúqiú,サッカーをする,2
254,题,ti,tí,書き記す,2
255,跳舞,tiaowu,tiàowǔ,ダンス,2
256,外,wai,wài,外,2
257,完,wan,wán,完成する,2
258,玩,wan,wán,遊ぶ,2
259,晚上,wanshang,wǎnshàng,夜,2
260,为什么,weishenme,wèishéme,なぜ,2
261,问,wen,wèn,尋ねる,2
262,问题,wenti,wèntí,問題,2
263,西瓜,xigua,xīguā,スイカ,2
264,希望,xiwang,xīwàng,望む,2
265,洗,xi,xǐ,洗う,2
266,向,xiang,xiàng,へ,2
267,小时,xiaoshi,xiǎoshí,時間,2
268,笑,xiao,xiào,笑う,2
269,新,xin,xīn,新しい,2
270,姓,xing,xìng,姓、名字,2
271,休息,xiuxi,xiūxi,休憩,2
272,雪,xue,xuě,雪,2
273,颜色,yanse,yánsè,色,2
274,眼睛,yanjing,yǎnjīng,目,2
275,羊肉,yangrou,yángròu,羊肉,2
276,药,yao,yào,薬,2
277,要,yao,yào,要求する,2
278,也,ye,yě,さらに,2
279,已经,yijing,yǐjīng,もう既に,2
280,一起,yiqi,yìqǐ,一緒に,2
281,意思,yisi,yìsi,意味,2
282,阴,yin,yīn,陰,2
283,因为,yinwei,yīnwèi,なぜなら,2
284,游泳,youyong,yóuyǒng,泳ぐ,2
285,右边,youbian,yòubiān,右,2
286,鱼,yu,yú,魚,2
287,元,yuan,yuán,中国のお金の単位,2
288,远,yuan,yuǎn,遠い,2
289,运动,yundong,yùndòng,運動,2
290,再,zai,zài,再び,2
291,早上,zaoshang,zǎoshang,朝,2
292,张,zhang,zhāng,枚,2
293,丈夫,zhangfu,zhàngfū,夫,2
294,找,zhao,zhǎo,探す,2
295,着,zhe,zhe,着る,2
296,真,zhen,zhēn,本当に,2
297,正在,zhengzai,zhèngzài,まさに〜している,2
298,知道,zhidao,zhīdào,知っている,2
299,准备,zhunbei,zhǔnbèi,準備をする,2
300,自行车,zixingche,zìxíngchē,自転車,2
301,走,zou,zǒu,歩く,2
302,最,zui,zuì,最も,2
303,左边,zuobian,zuǒbiān,左,2
304,昨天,zuotian,zuótiān,昨日,2
305,做,zuo,zuò,する,2
306,坐,zuo,zuò,座る,2
